Notice Date,Shop,Address,Municipality,Offence,ChargeBy,Charge,LAT,LON
2020-11-29,Jolly Bee Foods,"1 Promenade Circle, Vaughan, ON",City of Vaughan,"Fail to comply with an Order under the ROA - O. Reg. 263/20, Schedule 2, Section 6.1(1)(i) - Failed to ensure patrons maintain physical distancing of at least two metres from other groups of persons while lining up outside the establishment","November 29, 2020",$750 + surcharge = $880,43.807018,-79.450167
2020-11-29,LA Fitness,"18367 Yonge St, East Gwillimbury, ON",Town of East Gwillimbury,Part 1 offence under ROA: due to no COVID safety plan,"November 29, 2020",$750 + surcharge = $880,44.076415,-79.485607
2020-11-29,Longo's,"2810 Major Mackenzie Dr, Vaughan, ON",City of Vaughan,il to comply with the Sec. 22 Class Order under the HPPA - Failed to actively monitor compliance with capacity limits at all entrances,"November 29, 2020",$750 + surcharge = $880,43.850252,-79.534488
2020-11-29,Lowes,"100 Edgely Blvd., Vaughan, ON",City of Vaughan,"1. Fail to comply with Sec. C, Retail Stores, Subsec. 2 of the Class Order pursuant to Sec. 22 (5.0.1) of the HPPA2. Fail to actively monitor compliance with capacity limits at all entrances","November 29, 2020",$750 + surcharge = $880,43.795828,-79.532228
2020-11-29,McDonalds,"5225 Highway 7 E, Markham, ON",City of Markham,Part 1 offence under ROA due to not maintaining contact list of patrons,"November 29, 2020",$750 + surcharge = $880,43.84055,-79.398527
2020-11-29,Miniso,"1 Promenade Circle, Vaughan, ON",City of Vaughan,Fail to comply with the Sec. 22 Class Order under the HPPA -Failed to actively monitor compliance with capacity limits at all entrances,"November 29, 2020",$750 + surcharge = $880,43.807018,-79.450167
2020-11-29,Nature √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂¬¨‚Ä¢s Emporium,"16655 Yonge St, Newmarket, ON",Town of Newmarket,"1. Fail to comply with the Class Order pursuant to Sec. 22 (5.0.1) of the HPPA due to no COVID safety plan2. Emergency Measures By-law 2020-20, as amended; Section 3(7)  Failure to maintain physical distancing","November 29, 2020",1. $750 + surcharge = $880 and2. $600,44.035152,-79.475703
2020-11-29,St. Phillips,"191 Mactaggart Drive, Nobleton, ON",Township of King,"Part 1 offence under ROA 2 charges issued November 28) due to lack of physical distancing, exceeding capacity of 10","November 29, 2020",$750 + surcharge = $880,43.912004,-79.655599
2020-11-29,T&T,"1 Promenade Circle, Vaughan, ON",City of Vaughan,Fail to comply with the Sec. 22 Class Order under the HPPA -Failed to actively monitor compliance with capacity limits at all entrances,"November 29, 2020",$750 + surcharge = $880,43.807018,-79.450167
2020-11-29,Tim Hortons,"1600 Steeles Ave Unit 1, Vaughan, ON",City of Vaughan,Part 1 offence under ROA due to lack of mask wearing and not maintaining logs,"November 29, 2020",$750 + surcharge = $880,43.786664,-79.472711
2020-11-29,Trio Sportsplex,"601 Cityview Blvd, Woodbridge, ON L4H 0T1",City of Vaughan,Part 1 offence under ROA 2 charges issued due to playing/ practicing and exceeding capacity of 10 in a room,"November 29, 2020",$750 + surcharge = $880,43.86381,-79.554553
2020-11-29,Promenade Mall,"1 Promenade Circle, Vaughan, ON",City of Vaughan,"1. Fail to comply with Sec. C, Retail Stores, Subsec. 2 of the Class Order pursuant to Sec. 22 of the HPPA - Failed to actively monitor compliance with capacity limits at all entrances (3 charges) 2. Pt. 1 offence - Fail to comply with an Order under the ROA - O. Reg. 263/20, Schedule 2, Section 6.1(1)(i) 3.¬¨¬®¬¨¬Æ √Ñ√∂‚àö√ë √Ñ‚Ä†Failed to ensure patrons maintain physical distancing of at least two metres from other groups of persons while lining up outside the establishment","November 29, 2020",1. $750 + surcharge = $8802.¬¨¬®¬¨¬Æ √Ñ√∂‚àö√ë √Ñ‚Ä†$750 + surcharge = $880,43.807018,-79.450167
2020-11-29,Walmart,"255 Silver Linden Drive, Richmond Hill, ON",City of Richmond Hill,(issued November 28) Fail to comply with the Class Order pursuant to Sec. 22 (5.0.1) of the HPPA due to no physical distancing,"November 29, 2020",$750 + surcharge = $880,43.840959,-79.414426
2020-11-29,Winco Food Mart,"3155 Highway 7 E, Markham, ON",City of Markham,Fail to comply with the Class Order pursuant to Sec. 22 (5.0.1) of the HPPA due to lack of physical distancing,"November 29, 2020",$750 + surcharge = $880,43.850871,-79.35293
2020-12-8,Anytime Fitness,"12287 Tenth Line, Whitchurch-Stouffville",Town of Whitchurch - Stouffville,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Showers in use by gym patrons,York Region Public Health,$750 + surcharge = $880,43.975632,-79.231387
2020-12-8,Aroma Cafe √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂‚àö√ú Promenade Mall,"1 Promenade Cir, Thornhill",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 - Fail to record the name and contact information of every patron that enters an area of the establishment.,York Region Public Health,$750 + surcharge = $880,43.807018,-79.450167
2020-12-8,Aurora Crossfit,"189 Earl Stewart Drive, unit 5 Aurora",Town of Aurora,"Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20:  Shower in use, exceeding capacity",Aurora Bylaw Enforcement and York Region Public Health,$750 + surcharge = $880,44.016191,-79.449945
2020-12-8,Avenue Food Boutique Caf √Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®¬¨¬©,"10519 Islington Ave, Kleinburg",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Exceeding capacity,York Region Public Health,$750 + surcharge = $880,43.844133,-79.628548
2020-12-8,Avenue Restaurant,10519 Islington Ave.,City of Vaughan,"Charged under Temporary Outdoor Patio By-law 096-2020, Sec. 6.0(6) - Fail to follow further conditions or requirements.",York Region Public Health,$750 + surcharge = $880,43.844133,-79.628548
2020-12-8,Brown Donkastu,3255 Hwy 7 East,City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,Markham Bylaw Enforcement,$750 + surcharge = $880,43.851858,-79.348431
2020-12-8,Centro Cafe Promenade Mall,"1 Promenade Cir, Thornhill",City of Vaughan,"Charged under the Licensing By-law 315-2005, Sec. 3.0(1)  for operating an Eating Establishment with No Licence",York Region Public Health,$750 + surcharge = $880,43.807018,-79.450167
2020-12-8,Centro Pizza Promenade Mall,"1 Promenade Cir, Thornhill",City of Vaughan,"Charged under the Licensing By-law 315-2005, Sec. 3.0(1)  for Operating an Eating Establishment with No License",York Region Public Health,$750 + surcharge = $880,43.807018,-79.450167
2020-12-8,Coppa's Fresh Market,"1700 King Rd, King City",Township of King,Fail to comply with the Sec. 22 Class Order under the HPPA  no masks by several employees,York Region Public Health,$750 + surcharge = $880,43.933458,-79.507073
2020-12-8,Doctors House,21 Nashville Rd.,City of Vaughan,"Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂‚àö√ú Fail to have at least two full sides open to the outdoors if outdoor dining area is covered by a roof, canopy, tent, awning or other element.",York Region Public Health,$750 + surcharge = $880,43.843981,-79.629471
2020-12-8,Dollarama Promenade Mall,"1 Promenade Cir, Thornhill",City of Vaughan,"Fail to comply with the Class Order under to Sec. 22 of the HPPA  Failed to ensure that physical distancing of two metres is maintained by patrons and store staff in common areas, washrooms, hallways, entrances etc., at all times",York Region Public Health,$750 + surcharge = $880,43.807018,-79.450167
2020-12-8,Fido Promenade Mall,"1 Promenade Cir, Thornhill",City of Vaughan,Fail to comply with the Class Order under to Sec. 22 of the HPPA - Failed to actively monitor compliance with capacity limits at all entrances,York Region Public Health,$750 + surcharge = $880,43.807018,-79.450167
2020-12-8,Fitness Connection ,"354 Newkirk Rd, Richmond Hill",City of Richmond Hill,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Exceeding capacity,York Region Public Health,$750 + surcharge = $880,43.889392,-79.432184
2020-12-8,Freshway Foodmart,3255 Hwy 7 East,City of Markham,"Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  1) No safety plan, 2) Buffet style; and 3) Over capacity.",Markham Bylaw Enforcement,$750 + surcharge = $880,43.851858,-79.348431
2020-12-8,Jolly Bee Foods Promenade Mall,"1 Promenade Cir, Thornhill",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Failed to ensure patrons maintain physical distancing of at least two metres from other groups of persons while lining up outside the establishment,York Region Public Health,$750 + surcharge = $880,43.807018,-79.450167
2020-12-8,Kung Fu Noodle,3229 Hwy 7 East,City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 - Customer tracking sheet missing information,Markham Bylaw Enforcement,$750 + surcharge = $880,43.851374,-79.350595
2020-12-8,LA Fitness,"15650 Bayview Avenue, Aurora",Town of Aurora,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Showers in use by gym patrons,York Region Public Health,$750 + surcharge = $880,44.017971,-79.446686
2020-12-8,LA Fitness,"8555 Woodbine Ave, Markham",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Lack of distancing,York Region Public Health andMarkham Bylaw Enforcement,$750 + surcharge = $880,43.850801,-79.358189
2020-12-8,LA Fitness,"18367 Yonge Street, East Gwillimbury",Town of East Gwillimbury,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Exceeding capacity,York Region Public Health,$750 + surcharge = $880,44.076415,-79.485607
2020-12-8,LA Fitness,"9350 Bathurst Street, Maple",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Exceeding capacity,York Region Public Health,$750 + surcharge = $880,43.849511,-79.459088
2020-12-8,Lisa Cosmetics,135 Commerce Valley Dr.,City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 - Over capacity,Markham Bylaw Enforcement,$750 + surcharge = $880,43.841423,-79.375056
2020-12-8,Longo's,"18319 Yonge St, East Gwillimbury",Town of East Gwillimbury,Fail to comply with the Sec. 22 Class Order under the HPPA  Not managing capacity,York Region Public Health,$750 + surcharge = $880,44.075259,-79.48533
2020-12-8,Longo's,9306 Bathurst St.,City of Vaughan,Fail to comply with the Class Order under to Sec. 22 of the HPPA  Failed to actively monitor compliance with capacity limits at all entrances,York Region Public Health,$750 + surcharge = $880,43.848293,-79.458814
2020-12-8,Longo's,2810 Major Mackenzie Dr.,City of Vaughan,Fail to comply with the Class Order under to Sec. 22 of the HPPA  Failed to actively monitor compliance with capacity limits at all entrances,York Region Public Health,$750 + surcharge = $880,43.850252,-79.534488
2020-12-8,Miniso Promenade Mall,"1 Promenade Cir, Thornhill",City of Vaughan,Fail to comply with the Class Order under to Sec. 22 of the HPPA  Failed to actively monitor compliance with capacity limits at all entrances,York Region Public Health,$750 + surcharge = $880,43.807018,-79.450167
2020-12-8,Nino DAversa,"7960 Kipling Ave, Woodbridge",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  No masks by patrons (Nov 30),York Region Public Health,$750 + surcharge = $880,43.783922,-79.598495
2020-12-8,North Continent Inc. o/a European Deli Meat,"800 Steeles Av. W., Unit B5",City of Vaughan,Fail to comply with the Class Order under to Sec. 22 of the HPPA  Failed to actively monitor compliance with capacity limits at all entrances,York Region Public Health,$750 + surcharge = $880,43.791994,-79.447943
2020-12-8,"Northline Motors Inc., o/a Northline Motors",4342 Steeles Ave.,City of Vaughan,"Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20:Fail to wear appropriate personal protective equipment that provides protection of the person √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂¬¨‚Ä¢s eyes, nose and mouth if, in the course of providing services.Fail to operate the business or organization in compliance with the advice, recommendations and instructions of public health officials, including any advice, recommendations or instructions on physical distancing, cleaning or disinfecting.",York Region Public Health,$750 + surcharge = $880,43.76692,-79.562928
2020-12-8,Perla Oyster Bar,3901 Highway 7,City of Vaughan,"Charged under the Temporary Outdoor Patio By-law 096-2020, Sec. 5.0(1) - Owner failed to register temporary outdoor patio.Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 - Fail to have at least two full sides open to the outdoors if outdoor dining area is covered by a roof, canopy, tent, awning or other element.",York Region Public Health,$750 + surcharge = $880,43.787887,-79.554483
2020-12-8,"PETM Canada Corporation, o/a Petsmart","7575 Weston Rd., U-116",City of Vaughan,"Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Fail to wear appropriate personal protective equipment that provides protection of the person √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂¬¨‚Ä¢s eyes, nose and mouth if, in the course of providing services.",York Region Public Health,$750 + surcharge = $880,43.784579,-79.54632
2020-12-8,Promenade Mall,"1 Promenade Cir, Thornhill",City of Vaughan,"Fail to comply with the Class Order under to Sec. 22 of the HPPA  Failed to actively monitor compliance with capacity limits at all entrances¬¨¬®¬¨¬Æ √Ñ√∂‚àö√ë √Ñ‚Ä†Fail to comply with the Class Order under to Sec. 22 of the HPPA  Failed to ensure that physical distancing of two metres is maintained by patrons and store staff in common areas, washrooms, hallways, entrances etc., at all timesFail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Failed to ensure patrons maintain physical distancing of at least two metres from other groups of persons while lining up outside the establishment]",York Region Public Health,$750 + surcharge = $880,43.807018,-79.450167
2020-12-8,Sak's Fifth Avenue,"5000 Hwy 7, Markham",City of Markham,Fail to comply with the Sec. 22 Class Order under the HPPA  Interior doors open,York Region Public Health,$750 + surcharge = $880,43.86635,-79.288142
2020-12-8,San Antonio Seafood Market Ltd,106-107A - 8383 Weston Road,City of Vaughan,Fail to comply with the Sec. 22 Class Order under the HPPA  Contact tracing logs only logging one person,York Region Public Health,$750 + surcharge = $880,43.806198,-79.551374
2020-12-8,Shanghai Shikumen,3229 Hwy 7 East,City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 - Mandatory mask sign not displayed,Markham Bylaw Enforcement,$750 + surcharge = $880,43.851374,-79.350595
2020-12-8,"Siarhei, Savitski","1 Promenade Cir, Thornhill",City of Vaughan,"Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Fail to wear appropriate personal protective equipment that provides protection of the person √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂¬¨‚Ä¢s eyes, nose and mouth if, in the course of providing services.",York Region Public Health,$750 + surcharge = $880,43.807018,-79.450167
2020-12-8,Sunfood Supermarket,"1661 Denison St, Markham",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Lack of distancing,York Region Public Health,$750 + surcharge = $880,43.834733,-79.306247
2020-12-8,T&T - Promenade Mall,"1 Promenade Cir, Thornhill",City of Vaughan,Fail to comply with the Class Order under to Sec. 22 of the HPPA  Failed to actively monitor compliance with capacity limits at all entrances,York Region Public Health,$750 + surcharge = $880,43.807018,-79.450167
2020-12-8,Taste of Naples Pizzeria,"3560 Rutherford Rd., Bldg. B, Unit 60",City of Vaughan,"Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 - Fail to wear appropriate personal protective equipment that provides protection of the person √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂¬¨‚Ä¢s eyes, nose and mouth if, in the course of providing services.",York Region Public Health,$750 + surcharge = $880,43.827385,-79.549479
2020-12-8,The Octagon,7529 Yonge St.,City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 - Permitting more than 10 patrons (2 consecutive days),Markham Bylaw Enforcement,$750 + surcharge = $880,43.810923,-79.423291
2020-12-8,The Women's Fitness Clubs of Canada,"1 Promenade Circle, Thornhill",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Showers in use by gym patrons,York Region Public Health,$750 + surcharge = $880,43.807018,-79.450167
2020-12-8,Tian Xin Place Restaurant,"5 Glen Cameron Rd, Thornhill",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  More than 4 at a table,York Region Public Health,$750 + surcharge = $880,43.805773,-79.420115
2020-12-8,Tony Kwoon,8262 Kennedy Rd.,City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 - Patrons not wearing mask,Markham Bylaw Enforcement,$750 + surcharge = $880,43.855929,-79.305437
2020-12-8,Top Gun Steak and Burgers,7575 Keele St.,City of Vaughan,"Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 -Failed to ensure that any person in the indoor area of the premises wears a mask or face covering in a manner that covers their mouth, nose and chin",York Region Public Health,$750 + surcharge = $880,43.79631,-79.498328
2020-12-8,Walmart,"135 First Commerce Drive, Aurora",Town of Aurora,Fail to comply with the Sec. 22 Class Order under the HPPA  Improper mask use S. 10 (1) (a) Fail to comply with a continued section 7.0.2. order,York Region Public Health andAurora Bylaw Enforcement,$750 + surcharge = $880,44.016284,-79.414315
